iter	Passed	Remaining
398	132244	33475
399	132579	33144
400	132914	32814
401	133263	32487
402	133599	32156
403	133936	31826
404	134277	31497
405	134304	31095
406	134642	30765
407	134982	30437
408	135326	30109
409	135670	29781
410	136010	29452
411	136346	29122
412	136661	28788
413	137000	28458
414	137330	28127
415	137686	27802
416	138027	27473
417	138372	27144
418	138712	26815
419	139057	26487
420	139424	26162
421	139802	25840
422	140150	25512
423	140499	25183
424	140858	24857
425	141198	24527
426	141537	24197
427	141873	23866
428	142206	23535
429	142545	23205
430	142888	22875
431	143239	22546
432	143572	22215
433	143912	21885
434	144245	21553
435	144580	21222
436	144913	20891
437	145251	20560
438	145595	20230
439	145912	19897
440	146240	19565
441	146572	19233
442	146886	18899
443	147213	18567
444	147534	18234
445	147864	17902
446	148192	17570
447	148522	17239
448	148840	16906
449	149175	16575
450	149509	16243
451	149865	15914
452	150242	15588
453	150619	15261
454	150992	14933
455	151357	14604
456	151739	14277
457	152108	13948
458	152455	13618
459	152810	13287
460	153160	12957
461	153521	12627
462	153867	12296
463	154212	11964
464	154567	11634
465	154916	11302
466	155268	10971
467	155615	10640
468	155949	10307
469	156275	9975
470	156613	9642
471	156956	9310
472	157295	8978
473	157628	8646
474	157968	8314
475	158319	7982
476	158673	7650
477	159033	7319
478	159383	6987
479	159733	6655
480	160124	6325
481	160471	5992
482	160831	5660
483	161182	5328
484	161529	4995
485	161872	4662
486	162202	4329
487	162529	3996
488	162868	3663
489	163196	3330
490	163524	2997
491	163843	2664
492	164184	2331
493	164517	1998
494	164843	1665
495	165178	1332
496	165528	999
497	165860	666
498	166181	333
499	166503	0
